address,type,rent,beds,baths,sqft,Location,Area
"Sayednagar, East Vatara, Vatara, Badda, Dhaka",Apartment,14500.0,2 ,2 ,850 ,Dhaka,Badda
"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",Apartment,24000.0,3 ,3 ,"1,200 ",Dhaka,Mohammadpur
"Shiddheswari, Dhaka",Apartment,35000.0,3 ,4 ,"1,500 ",Dhaka,Shiddheswari
"Sector 9, Uttara, Dhaka",Apartment,22000.0,2 ,2 ,900 ,Dhaka,Uttara
"15 No. Bagmoniram Ward, Chattogram",Apartment,35000.0,3 ,3 ,"1,660 ",Chattogram,15 No. Bagmoniram Ward
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,42000.0,3 ,3 ,"1,800 ",Chattogram,16 No. Chawk Bazaar Ward
"Sector 4, Uttara, Dhaka",Apartment,45000.0,3 ,4 ,"2,100 ",Dhaka,Uttara
"Block K, Bashundhara R-A, Dhaka",Apartment,21000.0,3 ,3 ,"1,250 ",Dhaka,Bashundhara R-A
"Block C, Bashundhara R-A, Dhaka",Apartment,30000.0,3 ,4 ,"1,850 ",Dhaka,Bashundhara R-A
"Block C, Bashundhara R-A, Dhaka",Apartment,35000.0,3 ,4 ,"1,850 ",Dhaka,Bashundhara R-A
"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,30000.0,3 ,3 ,"1,450 ",Chattogram,16 No. Chawk Bazaar Ward
"East Nasirabad, Chattogram",Apartment,35000.0,3 ,3 ,"2,000 ",Chattogram,East Nasirabad
"Tejgaon, Dhaka",Apartment,25000.0,2 ,2 ,880 ,Dhaka,Tejgaon
"Uttar Badda, Badda, Dhaka",Apartment,24000.0,3 ,3 ,"1,350 ",Dhaka,Badda
"Zafrabad, Dhaka",Apartment,20000.0,3 ,3 ,"1,000 ",Dhaka,Zafrabad
"Gulshan 1, Gulshan, Dhaka",Apartment,150000.0,4 ,4 ,"3,600 ",Dhaka,Gulshan
"East Vatara, Vatara, Badda, Dhaka",Apartment,13000.0,2 ,2 ,800 ,Dhaka,Badda
"Bayazid Nagar Residential Area, Bayazid, Chattogram",Apartment,18000.0,2 ,3 ,"1,100 ",Chattogram,Bayazid
"Chawk Bazar, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,40000.0,3 ,3 ,"1,850 ",Chattogram,16 No. Chawk Bazaar Ward
"Gulshan 1, Gulshan, Dhaka",Apartment,90000.0,3 ,3 ,"2,400 ",Dhaka,Gulshan
"Shyamoli, Dhaka",Apartment,22000.0,3 ,3 ,"1,300 ",Dhaka,Shyamoli
"Block L, Bashundhara R-A, Dhaka",Apartment,18000.0,3 ,3 ,"1,500 ",Dhaka,Bashundhara R-A
"Maghbazar, Dhaka",Apartment,26000.0,3 ,3 ,"1,200 ",Dhaka,Maghbazar
"Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,350 ",Dhaka,Mirpur
"Block C, Banasree, Dhaka",Duplex,100000.0,5 ,5 ,"3,500 ",Dhaka,Banasree
"Banani, Dhaka",Apartment,130000.0,4 ,5 ,"2,600 ",Dhaka,Banani
"24 No. North Agrabad Ward, Double Mooring, Chattogram",Apartment,15000.0,2 ,2 ,900 ,Chattogram,Double Mooring
"Middle Badda, Badda, Dhaka",Apartment,19000.0,3 ,3 ,"1,350 ",Dhaka,Badda
"East Nasirabad, Chattogram",Apartment,26000.0,3 ,3 ,"1,350 ",Chattogram,East Nasirabad
"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,25000.0,3 ,3 ,"1,500 ",Chattogram,Khulshi
"Middle Paikpara, Mirpur, Dhaka",Apartment,14000.0,2 ,2 ,850 ,Dhaka,Mirpur
"Section 1, Mirpur, Dhaka",Apartment,12500.0,2 ,2 ,850 ,Dhaka,Mirpur
"Uttar Badda, Badda, Dhaka",Apartment,22000.0,3 ,3 ,"1,150 ",Dhaka,Badda
"Uttar Badda, Badda, Dhaka",Apartment,30000.0,3 ,2 ,"1,200 ",Dhaka,Badda
"Farmgate, Tejgaon, Dhaka",Apartment,22000.0,2 ,2 ,950 ,Dhaka,Tejgaon
"Ring Road, Shyamoli, Dhaka",Apartment,25000.0,3 ,3 ,"1,400 ",Dhaka,Shyamoli
"Panchlaish Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,42000.0,3 ,3 ,"2,090 ",Chattogram,16 No. Chawk Bazaar Ward
"Mohammadpur, Dhaka",Apartment,80000.0,3 ,3 ,"2,000 ",Dhaka,Mohammadpur
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,20000.0,2 ,2 ,850 ,Dhaka,Mohammadpur
"Tilpapara, Khilgaon, Dhaka",Apartment,26000.0,3 ,3 ,"1,100 ",Dhaka,Khilgaon
"Taltola, Khilgaon, Dhaka",Apartment,20000.0,3 ,2 ,"1,070 ",Dhaka,Khilgaon
"Baridhara DOHS, Dhaka",Apartment,45000.0,3 ,3 ,"1,250 ",Dhaka,Baridhara DOHS
"Maghbazar, Dhaka",Apartment,35000.0,3 ,2 ,"1,400 ",Dhaka,Maghbazar
"Kallyanpur, Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,250 ",Dhaka,Mirpur
"South Banasree Project, Banasree, Dhaka",Apartment,20000.0,3 ,2 ,"1,150 ",Dhaka,Banasree
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,21000.0,3 ,3 ,"1,200 ",Dhaka,Mirpur
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,18000.0,2 ,2 ,800 ,Dhaka,Mohammadpur
"Rajabazar, Tejgaon, Dhaka",Apartment,22000.0,2 ,2 ,800 ,Dhaka,Tejgaon
"Sector 13, Uttara, Dhaka",Apartment,30000.0,3 ,3 ,"1,400 ",Dhaka,Uttara
"Section 1, Mirpur, Dhaka",Apartment,15000.0,2 ,2 ,700 ,Dhaka,Mirpur
"Block A, Hill View R/A, Bayazid, Chattogram",Apartment,19000.0,3 ,3 ,"1,460 ",Chattogram,Bayazid
"Dhanmondi, Dhaka",Apartment,50000.0,3 ,4 ,"1,700 ",Dhaka,Dhanmondi
"Middle Monipur, Mirpur, Dhaka",Apartment,13500.0,2 ,2 ,800 ,Dhaka,Mirpur
"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",Apartment,22000.0,3 ,3 ,"1,200 ",Dhaka,Mohammadpur
"Block K, Bashundhara R-A, Dhaka",Apartment,33000.0,4 ,4 ,"2,530 ",Dhaka,Bashundhara R-A
"Sector 13, Uttara, Dhaka",Apartment,18000.0,2 ,2 ,900 ,Dhaka,Uttara
"Khilkhet, Dhaka",Apartment,10500.0,2 ,2 ,650 ,Dhaka,Khilkhet
"South Khulshi, Khulshi, Chattogram",Apartment,50000.0,3 ,3 ,"2,000 ",Chattogram,Khulshi
"Adabor, Dhaka",Apartment,27000.0,3 ,3 ,"1,500 ",Dhaka,Adabor
