address,type,rent,beds,baths,sqft,Location,Area
"Block C, Aftab Nagar, Dhaka",Apartment,30000.0,3 ,4 ,"1,700 ",Dhaka,Aftab Nagar
"Ring Road, Mohammadpur, Dhaka",Apartment,24000.0,3 ,3 ,"1,296 ",Dhaka,Mohammadpur
"Dhanmondi, Dhaka",Apartment,18000.0,2 ,2 ,630 ,Dhaka,Dhanmondi
"Mohammadpur, Dhaka",Apartment,20000.0,2 ,2 ,640 ,Dhaka,Mohammadpur
"Middle Badda, Badda, Dhaka",Apartment,25000.0,3 ,3 ,"1,295 ",Dhaka,Badda
"10 No. North Kattali Ward, Chattogram",Apartment,12000.0,2 ,2 ,850 ,Chattogram,10 No. North Kattali Ward
"Block B, Chandrima Model Town, Mohammadpur, Dhaka",Apartment,17500.0,4 ,3 ,"1,800 ",Dhaka,Mohammadpur
"South Khulshi, Khulshi, Chattogram",Apartment,50000.0,3 ,4 ,"1,800 ",Chattogram,Khulshi
"Hatirpool, Dhaka",Apartment,23000.0,2 ,2 ,800 ,Dhaka,Hatirpool
"15 No. Bagmoniram Ward, Chattogram",Apartment,50000.0,4 ,5 ,"1,900 ",Chattogram,15 No. Bagmoniram Ward
"East Nasirabad, Chattogram",Apartment,25000.0,3 ,3 ,"1,600 ",Chattogram,East Nasirabad
"Uttar Badda, Badda, Dhaka",Apartment,35000.0,3 ,3 ,"1,771 ",Dhaka,Badda
"Cantonment, Dhaka",Apartment,26000.0,3 ,3 ,"1,413 ",Dhaka,Cantonment
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,28000.0,3 ,3 ,"1,400 ",Dhaka,Mohammadpur
"East Kazipara, Mirpur, Dhaka",Apartment,15500.0,3 ,3 ,"1,450 ",Dhaka,Mirpur
"Taltola, Agargaon, Dhaka",Apartment,30000.0,3 ,3 ,"1,250 ",Dhaka,Agargaon
"Block B, Sugandha Residential Area, Panchlaish, Chattogram",Apartment,13000.0,2 ,2 ,850 ,Chattogram,Panchlaish
"Tajmahal Road, Mohammadpur, Dhaka",Apartment,45000.0,3 ,3 ,"1,300 ",Dhaka,Mohammadpur
"Block K, Baridhara, Dhaka",Duplex,800000.0,5 ,7 ,"12,000 ",Dhaka,Baridhara
"Chotopole, South Agrabad, Double Mooring, Chattogram",Apartment,12000.0,2 ,2 ,800 ,Chattogram,Double Mooring
"Ali And Nur Real Estate, Mohammadpur, Dhaka",Apartment,18000.0,3 ,3 ,"1,200 ",Dhaka,Mohammadpur
"Gulshan 2, Gulshan, Dhaka",Apartment,110000.00000000001,3 ,3 ,"2,700 ",Dhaka,Gulshan
"Sector 6, Uttara, Dhaka",Apartment,75000.0,3 ,4 ,"2,300 ",Dhaka,Uttara
"West Rampura, Rampura, Dhaka",Apartment,30000.0,3 ,3 ,"1,550 ",Dhaka,Rampura
"Purbanchal Road, Uttar Badda, Badda, Dhaka",Apartment,12000.0,2 ,2 ,720 ,Dhaka,Badda
"Matikata, Cantonment, Dhaka",Apartment,23000.0,3 ,3 ,"1,150 ",Dhaka,Cantonment
"Sector 3, Uttara, Dhaka",Apartment,120000.0,5 ,3 ,"3,000 ",Dhaka,Uttara
"Sector 7, Uttara, Dhaka",Apartment,55000.0,3 ,3 ,"1,500 ",Dhaka,Uttara
"Bashundhara R-A, Dhaka",Apartment,17000.0,3 ,3 ,"1,200 ",Dhaka,Bashundhara R-A
"Block G, Bashundhara R-A, Dhaka",Duplex,100000.0,6 ,6 ,"3,400 ",Dhaka,Bashundhara R-A
"Matikata, Cantonment, Dhaka",Apartment,15000.0,2 ,2 ,750 ,Dhaka,Cantonment
"Shyamoli, Dhaka",Apartment,27000.0,3 ,4 ,"1,750 ",Dhaka,Shyamoli
"Block D, Bashundhara R-A, Dhaka",Apartment,50000.0,4 ,3 ,"1,910 ",Dhaka,Bashundhara R-A
"West Khulshi R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,18000.0,3 ,3 ,"1,250 ",Chattogram,9 No. North Pahartali Ward
"Senpara Parbata, Section 10, Mirpur, Dhaka",Apartment,21000.0,3 ,3 ,"1,221 ",Dhaka,Mirpur
"Gulshan 2, Gulshan, Dhaka",Apartment,229999.99999999997,4 ,4 ,"3,000 ",Dhaka,Gulshan
"Kallyanpur, Mirpur, Dhaka",Apartment,13000.0,2 ,2 ,850 ,Dhaka,Mirpur
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,28000.0,3 ,3 ,"1,500 ",Chattogram,16 No. Chawk Bazaar Ward
"South Khulshi, Khulshi, Chattogram",Duplex,50000.0,4 ,4 ,"2,600 ",Chattogram,Khulshi
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,350 ",Dhaka,Rampura
"East Vatara, Vatara, Badda, Dhaka",Apartment,20000.0,3 ,3 ,"1,350 ",Dhaka,Badda
"Khilgaon, Dhaka",Apartment,24000.0,3 ,2 ,"1,150 ",Dhaka,Khilgaon
"Mirpur, Dhaka",Apartment,13500.0,2 ,2 ,950 ,Dhaka,Mirpur
"School Road, Mohakhali, Dhaka",Apartment,15000.0,2 ,1 Bath,650 ,Dhaka,Mohakhali
"Block B, Future Town, Bochila, Mohammadpur, Dhaka",Apartment,13000.0,3 ,3 ,"1,350 ",Dhaka,Mohammadpur
"Monipuripara, Tejgaon, Dhaka",Apartment,32000.0,3 ,3 ,"1,400 ",Dhaka,Tejgaon
"Paikpara, Mirpur, Dhaka",Apartment,24000.0,4 ,3 ,"1,400 ",Dhaka,Mirpur
"Block C, Khilgaon, Dhaka",Apartment,30000.0,3 ,3 ,"1,600 ",Dhaka,Khilgaon
"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,30000.0,3 ,3 ,"1,430 ",Dhaka,Adabor
"Block F, Dhaka Uddan, Mohammadpur, Dhaka",Apartment,14000.0,3 ,2 ,900 ,Dhaka,Mohammadpur
"South Khulshi, Khulshi, Chattogram",Apartment,25000.0,3 ,4 ,"1,400 ",Chattogram,Khulshi
"Baridhara, Dhaka",Building,1000000.0,7 ,8 ,"8,000 ",Dhaka,Baridhara
"South Baridhara Residential Area,D. I. T. Project, Badda, Dhaka",Apartment,19000.0,3 ,3 ,900 ,Dhaka,Badda
"Block K, Baridhara, Dhaka",Apartment,85000.0,3 ,3 ,"2,300 ",Dhaka,Baridhara
"7 No. West Sholoshohor Ward, Chattogram",Apartment,23000.0,3 ,3 ,"1,350 ",Chattogram,7 No. West Sholoshohor Ward
"Baridhara DOHS, Dhaka",Apartment,80000.0,3 ,4 ,"1,400 ",Dhaka,Baridhara DOHS
"Shantibag, Malibagh, Dhaka",Apartment,26000.0,3 ,3 ,"1,600 ",Dhaka,Malibagh
"Cantonment, Dhaka",Apartment,15000.0,3 ,2 ,"1,100 ",Dhaka,Cantonment
"Katalganj Residential Area, 16 No. Chawk Bazaar Ward, Chattogram",Apartment,24000.0,3 ,3 ,"1,350 ",Chattogram,16 No. Chawk Bazaar Ward
"Shyamoli, Dhaka",Apartment,27000.0,3 ,4 ,"1,750 ",Dhaka,Shyamoli
"Lake Valley R/A, 9 No. North Pahartali Ward, Chattogram",Apartment,30000.0,4 ,4 ,"2,000 ",Chattogram,9 No. North Pahartali Ward
"Block G, Bashundhara R-A, Dhaka",Apartment,30000.0,3 ,3 ,"1,800 ",Dhaka,Bashundhara R-A
"Sugandha Residential Area, Panchlaish, Chattogram",Apartment,30000.0,3 ,3 ,"1,700 ",Chattogram,Panchlaish
"Mohammadpur, Dhaka",Apartment,16000.0,2 ,2 ,750 ,Dhaka,Mohammadpur
"Gulshan 1, Gulshan, Dhaka",Apartment,140000.0,4 ,4 ,"2,950 ",Dhaka,Gulshan
"Block C, Bashundhara R-A, Dhaka",Apartment,36000.0,3 ,3 ,"1,900 ",Dhaka,Bashundhara R-A
"Road No 1, Block A, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,18000.0,3 ,3 ,"1,150 ",Chattogram,Bakalia
"Khilbari Tek, Badda, Dhaka",Apartment,20000.0,3 ,3 ,"1,150 ",Dhaka,Badda
"Block E, Banasree, Dhaka",Apartment,30000.0,4 ,3 ,"1,700 ",Dhaka,Banasree
"Banani, Dhaka",Apartment,160000.0,3 ,3 ,"2,300 ",Dhaka,Banani
"Kalabagan, Dhaka",Apartment,60000.0,4 ,5 ,"2,350 ",Dhaka,Kalabagan
"Zafrabad, Hazaribag, Dhaka",Apartment,30000.0,3 ,3 ,"1,470 ",Dhaka,Hazaribag
"Mohammadpur, Dhaka",Apartment,25000.0,3 ,3 ,"1,400 ",Dhaka,Mohammadpur
"Tilpapara, Khilgaon, Dhaka",Apartment,32000.0,3 ,3 ,"1,300 ",Dhaka,Khilgaon
"Nasirabad Properties Residential Area, Khulshi, Chattogram",Apartment,40000.0,3 ,3 ,"1,750 ",Chattogram,Khulshi
"Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Jalalabad Housing Society, West Khulshi, 9 No. North Pahartali Ward, Chattogram",Apartment,20000.0,3 ,3 ,"1,250 ",Chattogram,9 No. North Pahartali Ward
"Sector 4, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,500 ",Dhaka,Uttara
"Sector 2, Block E, Aftab Nagar, Dhaka",Apartment,18000.0,2 ,2 ,"1,100 ",Dhaka,Aftab Nagar
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,800 ,Dhaka,Mohammadpur
"Purana Paltan, Motijheel, Dhaka",Apartment,28000.0,2 ,2 ,"1,050 ",Dhaka,Motijheel
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",Apartment,16000.0,3 ,3 ,"1,350 ",Dhaka,Mohammadpur
"Nayatola, Maghbazar, Dhaka",Apartment,21000.0,3 ,3 ,"1,350 ",Dhaka,Maghbazar
"Banani, Dhaka",Apartment,150000.0,3 ,3 ,"2,450 ",Dhaka,Banani
"Sector 7, Uttara, Dhaka",Apartment,45000.0,3 ,4 ,"1,600 ",Dhaka,Uttara
"Road No 1, Block A, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,18000.0,3 ,3 ,"1,150 ",Chattogram,Bakalia
"Ahmed Nagar, Mirpur, Dhaka",Apartment,15500.0,3 ,2 ,"1,100 ",Dhaka,Mirpur
"Middle Badda, Badda, Dhaka",Apartment,35000.0,3 ,3 ,"1,800 ",Dhaka,Badda
"Tikatuli, Sutrapur, Dhaka",Apartment,26000.0,3 ,3 ,"1,260 ",Dhaka,Sutrapur
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,20000.0,3 ,2 ,"1,000 ",Dhaka,Mohammadpur
"West Kafrul, Taltola, Agargaon, Dhaka",Apartment,14500.0,2 ,2 ,800 ,Dhaka,Agargaon
"Block B, Aftab Nagar, Dhaka",Apartment,26000.0,3 ,3 ,"1,550 ",Dhaka,Aftab Nagar
"Block B, Section 12, Mirpur, Dhaka",Apartment,24000.0,3 ,3 ,"1,450 ",Dhaka,Mirpur
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",Apartment,22000.0,3 ,3 ,"1,450 ",Dhaka,Mohammadpur
"Block C, Banasree, Dhaka",Apartment,20000.0,3 ,2 ,"1,100 ",Dhaka,Banasree
"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,850 ,Dhaka,Mohammadpur
"Block I, Bashundhara R-A, Dhaka",Apartment,40000.0,3 ,4 ,"1,850 ",Dhaka,Bashundhara R-A
"Section 1, Mirpur, Dhaka",Apartment,22000.0,3 ,4 ,"1,450 ",Dhaka,Mirpur
"Gulshan 1, Gulshan, Dhaka",Apartment,80000.0,3 ,3 ,"2,000 ",Dhaka,Gulshan
"Tejgaon, Dhaka",Apartment,50000.0,4 ,4 ,"2,100 ",Dhaka,Tejgaon
"Road No 1, Block H, Halishahar Housing Estate, 26 No. North Halishahar Ward, Halishahar, Chattogram",Apartment,20000.0,3 ,3 ,"1,426 ",Chattogram,Halishahar
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,22000.0,3 ,3 ,"1,250 ",Dhaka,Mohammadpur
"Mohammadpur, Dhaka",Apartment,15500.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Sector 13, Uttara, Dhaka",Apartment,32000.0,3 ,4 ,"1,450 ",Dhaka,Uttara
"11 No. South Kattali Ward, Chattogram",Apartment,16000.0,3 ,2 ,"1,200 ",Chattogram,11 No. South Kattali Ward
"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,15000.0,3 ,3 ,"1,654 ",Dhaka,Uttara
"Kakrail, Dhaka",Apartment,45000.0,3 ,3 ,"1,675 ",Dhaka,Kakrail
"Sector 4, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,550 ",Dhaka,Uttara
"Dhanmondi, Dhaka",Apartment,65000.0,3 ,4 ,"2,200 ",Dhaka,Dhanmondi
"Bonolota Abashik Elaka, West Agargaon, Agargaon, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Agargaon
"Block F, Bashundhara R-A, Dhaka",Apartment,35000.0,3 ,4 ,"1,800 ",Dhaka,Bashundhara R-A
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,10000.0,1 Bed,1 Bath,350 ,Dhaka,Mohammadpur
"Gulshan 2, Gulshan, Dhaka",Duplex,400000.0,4 ,4 ,"4,465 ",Dhaka,Gulshan
"Tilpapara, Khilgaon, Dhaka",Apartment,22000.0,3 ,3 ,"1,435 ",Dhaka,Khilgaon
"Tejkunipara, Tejgaon, Dhaka",Apartment,30000.0,3 ,3 ,"1,350 ",Dhaka,Tejgaon
"Nikunja 2, Nikunja, Dhaka",Apartment,20000.0,2 ,2 ,800 ,Dhaka,Nikunja
"Block E, Section 1, Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,300 ",Dhaka,Mirpur
"PC Culture Housing, Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Sector 12, Uttara, Dhaka",Apartment,70000.0,3 ,3 ,"2,170 ",Dhaka,Uttara
"Block F, Bashundhara R-A, Dhaka",Apartment,50000.0,4 ,4 ,"2,300 ",Dhaka,Bashundhara R-A
"Lalmatia, Dhaka",Apartment,40000.0,3 ,3 ,"1,000 ",Dhaka,Lalmatia
"Chadra Nagar, Bayazid, Chattogram",Apartment,14000.0,3 ,2 ,"1,000 ",Chattogram,Bayazid
"Taltola, Khilgaon, Dhaka",Apartment,17000.0,2 ,2 ,980 ,Dhaka,Khilgaon
"Gulshan 2, Gulshan, Dhaka",Apartment,220000.00000000003,3 ,3 ,"2,500 ",Dhaka,Gulshan
"East Hazipara, East Rampura, Rampura, Dhaka",Apartment,16000.0,3 ,2 ,950 ,Dhaka,Rampura
"25 No. Rampur Ward, Double Mooring, Chattogram",Apartment,12000.0,2 ,2 ,"1,000 ",Chattogram,Double Mooring
"Uttar Badda, Badda, Dhaka",Apartment,22000.0,3 ,3 ,"1,150 ",Dhaka,Badda
"Block F, aziz Moholla, Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,750 ,Dhaka,Mohammadpur
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,250 ",Dhaka,Rampura
"Nikunja 2, Nikunja, Dhaka",Apartment,30000.0,3 ,3 ,"1,500 ",Dhaka,Nikunja
"Shah Ali Bag, Section 1, Mirpur, Dhaka",Apartment,15000.0,3 ,3 ,"1,050 ",Dhaka,Mirpur
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,350 ",Dhaka,Rampura
"Block C, Section 12, Mirpur, Dhaka",Apartment,12000.0,2 ,2 ,650 ,Dhaka,Mirpur
"Sector 13, Uttara, Dhaka",Apartment,70000.0,3 ,4 ,"2,600 ",Dhaka,Uttara
"Block H, Bashundhara R-A, Dhaka",Apartment,30000.0,3 ,3 ,"1,600 ",Dhaka,Bashundhara R-A
"Sector 7, Uttara, Dhaka",Apartment,40000.0,3 ,3 ,"1,500 ",Dhaka,Uttara
"Baitul Aman Housing Society, Adabor, Dhaka",Apartment,18000.0,3 ,3 ,"1,200 ",Dhaka,Adabor
"Block B, Aftab Nagar, Dhaka",Apartment,30000.0,3 ,3 ,"1,600 ",Dhaka,Aftab Nagar
"East Kazipara, Mirpur, Dhaka",Apartment,9500.0,2 ,1 Bath,600 ,Dhaka,Mirpur
"Avenue 6, Mirpur DOHS, Mirpur, Dhaka",Apartment,60000.0,1 Bed,2 ,850 ,Dhaka,Mirpur
"10 No. North Kattali Ward, Chattogram",Apartment,15000.0,3 ,3 ,"1,050 ",Chattogram,10 No. North Kattali Ward
"Uttar Badda, Badda, Dhaka",Apartment,21000.0,3 ,3 ,"1,300 ",Dhaka,Badda
"Gulshan 2, Gulshan, Dhaka",Apartment,180000.0,4 ,5 ,"2,900 ",Dhaka,Gulshan
"South Khulshi, Khulshi, Chattogram",Apartment,20000.0,2 ,2 ,"1,100 ",Chattogram,Khulshi
"Kallyanpur, Mirpur, Dhaka",Apartment,17000.0,3 ,3 ,"1,050 ",Dhaka,Mirpur
"Block B, Bashundhara R-A, Dhaka",Apartment,35000.0,3 ,4 ,"1,500 ",Dhaka,Bashundhara R-A
"Maghbazar, Dhaka",Apartment,35000.0,3 ,4 ,"1,400 ",Dhaka,Maghbazar
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,22000.0,3 ,4 ,"1,350 ",Dhaka,Mirpur
"Rajabazar, Tejgaon, Dhaka",Apartment,20000.0,2 ,2 ,750 ,Dhaka,Tejgaon
"Block C, Future Town, Bochila, Mohammadpur, Dhaka",Apartment,18000.0,4 ,3 ,"1,400 ",Dhaka,Mohammadpur
"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,28000.0,3 ,3 ,"1,460 ",Dhaka,Mohammadpur
"Sector 6, Uttara, Dhaka",Apartment,50000.0,3 ,3 ,"2,300 ",Dhaka,Uttara
"Sector 6, Uttara, Dhaka",Apartment,60000.0,3 ,3 ,"2,450 ",Dhaka,Uttara
"East Rampura, Rampura, Dhaka",Apartment,22000.0,3 ,3 ,"1,286 ",Dhaka,Rampura
"Block K, Baridhara, Dhaka",Apartment,85000.0,3 ,3 ,"2,300 ",Dhaka,Baridhara
"Block G, Bashundhara R-A, Dhaka",Apartment,25000.0,3 ,3 ,"1,500 ",Dhaka,Bashundhara R-A
"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",Apartment,40000.0,4 ,4 ,"2,100 ",Dhaka,Mirpur
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,16500.0,3 ,2 ,"1,100 ",Dhaka,Mirpur
"Block B, Aftab Nagar, Dhaka",Apartment,30000.0,3 ,3 ,"1,600 ",Dhaka,Aftab Nagar
"North Goran, Goran, Khilgaon, Dhaka",Apartment,25000.0,4 ,4 ,"1,600 ",Dhaka,Khilgaon
"Shiddheswari, Dhaka",Apartment,42000.0,3 ,4 ,"1,695 ",Dhaka,Shiddheswari
"Manikdi, Cantonment, Dhaka",Apartment,15000.0,2 ,2 ,900 ,Dhaka,Cantonment
"Shiddheswari, Dhaka",Apartment,30000.0,3 ,3 ,"1,250 ",Dhaka,Shiddheswari
"Block B, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",Apartment,20500.0,2 ,2 ,700 ,Dhaka,Mohammadpur
"Maghbazar, Dhaka",Apartment,34000.0,3 ,4 ,"1,300 ",Dhaka,Maghbazar
"Block A, Section 11, Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,150 ",Dhaka,Mirpur
"South Agrabad, Double Mooring, Chattogram",Apartment,11500.0,2 ,2 ,800 ,Chattogram,Double Mooring
"Khilbari Tek, Badda, Dhaka",Apartment,24000.0,3 ,3 ,"1,300 ",Dhaka,Badda
"Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Apartment,21000.0,3 ,3 ,"1,152 ",Dhaka,Rampura
"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,90000.0,5 ,5 ,"4,000 ",Chattogram,Khulshi
"10 No. North Kattali Ward, Chattogram",Apartment,15000.0,3 ,3 ,"1,050 ",Chattogram,10 No. North Kattali Ward
"Lalmatia, Dhaka",Apartment,40000.0,3 ,3 ,"1,600 ",Dhaka,Lalmatia
"Sector 12, Uttara, Dhaka",Apartment,80000.0,3 ,3 ,"2,900 ",Dhaka,Uttara
"Dhanmondi, Dhaka",Apartment,65000.0,3 ,4 ,"2,500 ",Dhaka,Dhanmondi
"Khilbari Tek, Badda, Dhaka",Apartment,13000.0,2 ,2 ,850 ,Dhaka,Badda
"Shyamoli, Dhaka",Apartment,22000.0,3 ,2 ,"1,000 ",Dhaka,Shyamoli
"Tejgaon, Dhaka",Apartment,32000.0,3 ,4 ,"1,747 ",Dhaka,Tejgaon
"Sector 11, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,400 ",Dhaka,Uttara
"Badda, Dhaka",Apartment,15000.0,2 ,2 ,700 ,Dhaka,Badda
"Maghbazar, Dhaka",Apartment,18000.0,3 ,2 ,950 ,Dhaka,Maghbazar
"Banani, Dhaka",Apartment,95000.0,3 ,3 ,"2,400 ",Dhaka,Banani
"Abdur Rafique Housing Society, Shekhertek, Mohammadpur, Dhaka",Apartment,16000.0,3 ,2 ,"1,050 ",Dhaka,Mohammadpur
"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",Apartment,16000.0,3 ,2 ,"1,150 ",Dhaka,Mohammadpur
"Sector 1, Block E, Aftab Nagar, Dhaka",Apartment,22000.0,3 ,3 ,"1,440 ",Dhaka,Aftab Nagar
"Paikpara, Ahmed Nagar, Mirpur, Dhaka",Apartment,20000.0,3 ,3 ,"1,350 ",Dhaka,Mirpur
"Middle Paikpara, Mirpur, Dhaka",Apartment,15000.0,3 ,2 ,"1,100 ",Dhaka,Mirpur
"West Agargaon, Agargaon, Dhaka",Apartment,15500.0,3 ,2 ,"1,000 ",Dhaka,Agargaon
"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",Apartment,16000.0,3 ,2 ,820 ,Dhaka,Mohammadpur
"Dhanmondi, Dhaka",Apartment,50000.0,3 ,4 ,"2,200 ",Dhaka,Dhanmondi
"Block F, Banasree, Dhaka",Apartment,19000.0,3 ,2 ,"1,000 ",Dhaka,Banasree
"Dhanmondi, Dhaka",Apartment,55000.0,3 ,4 ,"1,800 ",Dhaka,Dhanmondi
"Nikunja 2, Nikunja, Dhaka",Apartment,18000.0,2 ,2 ,750 ,Dhaka,Nikunja
"Mohammadpur, Dhaka",Apartment,18000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Block B, Aftab Nagar, Dhaka",Apartment,35000.0,4 ,4 ,"1,600 ",Dhaka,Aftab Nagar
"Tejgaon, Dhaka",Apartment,40000.0,3 ,4 ,"1,800 ",Dhaka,Tejgaon
"Manikdi, Cantonment, Dhaka",Apartment,10000.0,2 ,1 Bath,650 ,Dhaka,Cantonment
"Block B, South Khulshi Residential Area, South Khulshi, Khulshi, Chattogram",Apartment,20000.0,3 ,3 ,"1,400 ",Chattogram,Khulshi
"Mirpur, Dhaka",Apartment,17000.0,3 ,3 ,"1,250 ",Dhaka,Mirpur
"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,18000.0,2 ,2 ,750 ,Dhaka,Mohammadpur
"Uttar Badda, Badda, Dhaka",Apartment,19000.0,3 ,3 ,"1,100 ",Dhaka,Badda
"9 No. North Pahartali Ward, Chattogram",Apartment,11000.0,3 ,2 ,"1,025 ",Chattogram,9 No. North Pahartali Ward
"Block L, Bashundhara R-A, Dhaka",Apartment,25000.0,3 ,3 ,"1,500 ",Dhaka,Bashundhara R-A
"Banani, Dhaka",Apartment,150000.0,4 ,4 ,"3,000 ",Dhaka,Banani
"Tejgaon, Dhaka",Apartment,27000.0,3 ,3 ,"1,250 ",Dhaka,Tejgaon
"Abedin Colony, 22 No. Enayet Bazaar Ward, Chattogram",Apartment,27000.0,3 ,3 ,"1,200 ",Chattogram,22 No. Enayet Bazaar Ward
"Maghbazar, Dhaka",Apartment,55000.0,4 ,4 ,"2,050 ",Dhaka,Maghbazar
"Block A, Rajuk Uttara Apartment Project, Sector 18, Uttara, Dhaka",Apartment,20000.0,3 ,4 ,"1,654 ",Dhaka,Uttara
"Badda, Dhaka",Apartment,15000.0,2 ,2 ,700 ,Dhaka,Badda
"Dhanmondi, Dhaka",Apartment,35000.0,3 ,3 ,"1,500 ",Dhaka,Dhanmondi
"East Vatara, Vatara, Badda, Dhaka",Apartment,20000.0,3 ,3 ,"1,350 ",Dhaka,Badda
"Sector 1, Block G, Aftab Nagar, Dhaka",Apartment,18000.0,3 ,3 ,"1,530 ",Dhaka,Aftab Nagar
"Gulshan 1, Gulshan, Dhaka",Apartment,200000.0,4 ,4 ,"4,000 ",Dhaka,Gulshan
"Dakshin Kattali, 11 No. South Kattali Ward, Chattogram",Apartment,11000.0,2 ,2 ,700 ,Chattogram,11 No. South Kattali Ward
"Sector 12, Uttara, Dhaka",Apartment,35000.0,3 ,3 ,"1,600 ",Dhaka,Uttara
"Rajabazar, Tejgaon, Dhaka",Apartment,38000.0,3 ,3 ,"1,450 ",Dhaka,Tejgaon
"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,18000.0,3 ,2 ,"1,200 ",Dhaka,Mohammadpur
"East Nasirabad, Chattogram",Apartment,25000.0,3 ,3 ,"1,600 ",Chattogram,East Nasirabad
"Block F, Kolpolok R/A, 18 No. East Bakalia Ward, Bakalia, Chattogram",Apartment,18000.0,3 ,3 ,"1,150 ",Chattogram,Bakalia
"West Agargaon, Agargaon, Dhaka",Apartment,20000.0,3 ,3 ,"1,200 ",Dhaka,Agargaon
"Tejgaon, Dhaka",Apartment,16000.0,2 ,2 ,900 ,Dhaka,Tejgaon
"Namapara, Khilkhet, Dhaka",Apartment,10500.0,2 ,2 ,700 ,Dhaka,Khilkhet
"Mirpur, Dhaka",Apartment,16000.0,3 ,3 ,"1,050 ",Dhaka,Mirpur
"Sector 10, Uttara, Dhaka",Apartment,60000.0,3 ,4 ,"1,550 ",Dhaka,Uttara
"Khulshi Hill R/A, North Khulshi, Khulshi, Chattogram",Apartment,80000.0,4 ,5 ,"2,800 ",Chattogram,Khulshi
"11 No. South Kattali Ward, Chattogram",Apartment,18000.0,3 ,3 ,"1,400 ",Chattogram,11 No. South Kattali Ward
"Adabor, Dhaka",Apartment,25000.0,3 ,3 ,"1,365 ",Dhaka,Adabor
"Mohammadia Housing Society, Mohammadpur, Dhaka",Apartment,24000.0,3 ,3 ,"1,200 ",Dhaka,Mohammadpur
"Maghbazar, Dhaka",Apartment,30000.0,3 ,3 ,"1,450 ",Dhaka,Maghbazar
"Chandrima, Chandgaon Residential Area, 4 No Chandgaon Ward, Chattogram",Apartment,14000.0,3 ,3 ,"1,150 ",Chattogram,4 No Chandgaon Ward
"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",Apartment,14000.0,2 ,3 ,950 ,Dhaka,Mohammadpur
"Rupnagar R/A, Mirpur, Dhaka",Apartment,15000.0,2 ,2 ,840 ,Dhaka,Mirpur
"Block H, Aftab Nagar, Dhaka",Apartment,45000.0,4 ,3 ,"2,170 ",Dhaka,Aftab Nagar
"Mohammadpur, Dhaka",Apartment,15000.0,2 ,2 ,720 ,Dhaka,Mohammadpur
"Monipuripara, Tejgaon, Dhaka",Apartment,29000.0,3 ,3 ,"1,340 ",Dhaka,Tejgaon
"Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,26000.0,3 ,3 ,"1,500 ",Chattogram,Khulshi
